X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
17.363594	12.608430	-0.104663	21.458747	35.984966	90.279455	-26.786083	-26.962214	-18.501936
16.964641	12.301708	0.105538	20.955720	35.947299	89.711443	-26.853626	-27.057951	-18.502638
16.029462	11.664671	0.004728	19.824435	36.043455	89.986336	-26.938778	-27.185953	-18.502449
15.308773	11.190646	0.094814	18.963072	36.166641	89.713525	-27.067900	-27.380163	-18.502594
14.478694	10.639405	-0.008142	17.967459	36.309630	90.025963	-27.206625	-27.595760	-18.502724
13.110243	10.060280	-0.205473	16.526643	37.501201	90.712368	-27.434856	-27.955166	-18.502626
13.041606	9.200173	-0.044605	15.960221	35.200972	90.160129	-27.545660	-28.145353	-18.502846
12.162195	8.691830	-0.379211	14.953618	35.551862	91.453127	-27.748705	-28.498451	-18.503986
11.158378	8.078386	-0.186169	13.776951	35.903597	90.774266	-28.075134	-29.114830	-18.504723
10.834497	7.797404	0.124842	13.349210	35.741924	89.464159	-28.218468	-29.414011	-18.504988
9.736305	7.059556	-0.299849	12.030082	35.944945	91.428242	-28.527014	-30.084572	-18.504545
8.704605	6.351736	-0.033881	10.775706	36.118171	90.180148	-28.706633	-30.850685	-18.501720
7.705078	5.682525	-0.046750	9.574002	36.408921	90.279778	-28.640009	-31.074682	-18.500578
7.288966	5.341485	0.157016	9.037983	36.234630	89.004556	-28.513548	-31.077930	-18.499777
6.403119	4.745201	-0.016721	7.969765	36.541273	90.120213	-27.632553	-30.094173	-18.497871
5.701735	3.775703	-0.229067	6.842382	33.512625	91.918489	-26.410252	-27.937092	-18.499090
4.311835	3.625560	-0.207618	5.637350	40.058435	92.110625	-26.064638	-26.807995	-18.499622
4.369748	3.164405	0.084089	5.395852	35.910622	89.107064	-26.041332	-26.298237	-18.499195
2.997007	2.398673	-0.263386	3.847734	38.672244	93.925089	-26.343952	-25.961142	-18.498751
1.870931	1.302625	0.195624	2.288118	34.847350	85.095467	-27.558981	-26.241796	-18.498831
1.079461	1.049526	0.126987	1.510916	44.194459	85.178796	-28.312101	-26.583416	-18.497463
0.792043	0.704196	0.096959	1.064249	41.639930	84.772805	-29.941786	-27.413013	-18.497400
0.101383	0.275215	0.056205	0.298632	69.777342	79.151664	-31.800072	-28.582901	-18.498310
-0.634320	-0.681413	0.021887	0.931217	-132.950116	88.653220	-33.920685	-30.319006	-18.498968
-1.818309	-1.129699	0.335043	2.166730	-148.147684	81.104613	-36.728168	-33.103676	-18.498297
-2.933660	-1.979082	0.026177	3.538900	-145.995929	89.576187	-36.826660	-33.956409	-18.498125
-3.512785	-2.882088	-0.211908	4.548736	-140.632606	92.670154	-35.224045	-32.946564	-18.498384
-4.441530	-2.751249	0.122698	5.226051	-148.224387	88.654682	-33.837128	-32.004200	-18.497866
-4.630282	-3.469792	0.090524	5.786809	-143.153225	89.103677	-32.586273	-31.048868	-18.498308
-5.651257	-4.074656	-0.126112	6.968173	-144.207732	91.037009	-30.329653	-29.429377	-18.498589
-6.569277	-4.816794	-0.085358	8.146422	-143.749998	90.600358	-29.241404	-28.559803	-18.498280
-6.901738	-5.209312	-0.023156	8.647049	-142.955129	90.153434	-28.612677	-28.063946	-18.499454
-7.965612	-5.882813	0.006873	9.902449	-143.553163	89.960235	-29.405769	-28.594584	-18.501469
-9.012326	-6.234577	0.032611	10.958697	-145.325160	89.829496	-28.699467	-28.057030	-18.500881
-10.593123	-7.242684	-0.057475	12.832538	-145.638973	90.256618	-28.025845	-27.532055	-18.500324
-10.593123	-7.843258	0.045481	13.180782	-143.483370	89.802298	-27.770647	-27.340443	-18.499949
-11.882212	-8.315137	-0.181879	14.503846	-145.015784	90.718512	-27.447035	-27.088154	-18.499573
-12.133166	-8.909276	0.199914	15.054198	-143.710492	89.239111	-27.331989	-27.000532	-18.499557
-12.877449	-9.282490	-0.179734	15.875315	-144.214692	90.648695	-27.123693	-26.833393	-18.499710
-14.132219	-10.001034	0.103393	17.313318	-144.713869	89.657833	-26.947050	-26.693275	-18.499704
-14.880792	-10.717433	-0.130401	18.338984	-144.237840	90.407412	-26.835878	-26.601892	-18.499269
-15.294759	-11.180733	-0.113242	18.946009	-143.832551	90.342465	-26.768829	-26.549322	-18.499046
-16.279271	-11.727684	-0.216198	20.064894	-144.230797	90.617370	-26.676567	-26.473043	-18.499029
-16.686803	-12.480546	0.169886	20.838481	-143.206115	89.532892	-26.599585	-26.410063	-18.498251
-17.604823	-12.907383	0.126987	21.829944	-143.752133	89.666702	-26.553431	-26.370428	-18.498415
-18.308353	-13.636651	-0.216198	22.829822	-143.320072	90.542597	-26.494900	-26.318495	-18.498116
-19.254257	-14.308007	-0.014576	23.988449	-143.383636	90.034816	-26.454603	-26.277800	-18.498247
-19.919178	-14.992232	0.274986	24.932234	-143.032937	89.368053	-26.441803	-26.253868	-18.497288
-21.195398	-15.032986	-0.085358	25.985435	-144.653559	90.188209	-26.444084	-26.246891	-18.497583
-21.465656	-15.794427	0.009017	26.650298	-143.654369	89.980613	-26.491684	-26.258598	-18.496510
-22.658224	-16.588043	-0.153995	28.081702	-143.792212	90.314202	-26.500044	-26.261007	-18.496138
-23.473289	-17.317311	0.092669	29.170073	-143.582119	89.817980	-26.398012	-26.202744	-18.495697
-24.816000	-18.042290	0.009017	30.681561	-143.981251	89.983160	-26.294676	-26.134651	-18.496899
-24.970434	-18.627850	-0.008142	31.153160	-143.277200	90.014974	-26.259874	-26.111610	-18.497440
-25.916338	-18.707211	-0.001707	31.962733	-144.177088	90.003060	-26.228901	-26.089823	-18.497093
-26.701374	-19.350683	0.227798	32.976722	-144.068878	89.604207	-26.205667	-26.073496	-18.497482
-27.610814	-19.889055	0.118408	34.028599	-144.233448	89.800630	-26.179317	-26.053865	-18.496893
-28.561008	-20.626903	0.032611	35.230688	-144.162996	89.946964	-26.160803	-26.040129	-18.496658
-29.316015	-21.010841	-0.038170	36.067792	-144.370762	90.060636	-26.147615	-26.029062	-18.497007
-29.785750	-21.474141	0.024032	36.719616	-144.210149	89.962502	-26.134468	-26.018074	-18.497120
-30.845334	-22.347118	0.002583	38.089740	-144.077068	89.996115	-26.115099	-26.003536	-18.496412
-31.797672	-23.084966	0.043336	39.293886	-144.020520	89.936810	-26.103580	-25.994120	-18.496286

28.860295	25.765289	0.062640	38.688120	41.757172	89.907232	-26.153683	-26.110680	-18.496355
28.049520	25.741695	-0.323443	38.072497	42.543324	90.486759	-26.157743	-26.115330	-18.496098
28.047375	25.053180	0.270696	37.608381	41.772665	89.587595	-26.166626	-26.125328	-18.495966
27.985173	25.351322	0.530230	37.764276	42.172929	89.195511	-26.169024	-26.129412	-18.496235
27.253759	24.780776	0.214929	36.836130	42.279019	89.665693	-26.192831	-26.156971	-18.495779
26.552375	23.697598	0.242812	35.590220	41.748436	89.609100	-26.237947	-26.209799	-18.496244
25.842411	23.420905	0.116263	34.876676	42.185929	89.809002	-26.271736	-26.250072	-18.495663
25.286880	22.725956	0.193479	33.999012	41.946832	89.673943	-26.313362	-26.299538	-18.495560
24.688451	22.155410	0.272841	33.173125	41.904796	89.528751	-26.336597	-26.330084	-18.495731
23.262088	20.877046	0.051916	31.256655	41.907051	89.904835	-26.313307	-26.307987	-18.496548
22.732296	20.559600	-0.025301	30.650531	42.126900	90.047296	-26.318205	-26.315155	-18.497084
22.331198	19.950446	-0.061764	29.945058	41.777250	90.118178	-26.334009	-26.336586	-18.497662
21.280194	19.244772	-0.014576	28.691603	42.124657	90.029109	-26.371630	-26.384203	-18.497484
20.527331	18.513358	-0.138981	27.642994	42.046928	90.288068	-26.399857	-26.421249	-18.498184
20.038293	18.163739	0.189190	27.046079	42.190779	89.599208	-26.423782	-26.451618	-18.497677
19.373372	17.310066	0.081944	25.980235	41.780719	89.819283	-26.465765	-26.506105	-18.498129
17.934139	16.323408	0.124842	24.250827	42.308034	89.705042	-26.550474	-26.618374	-18.498045
17.387188	15.896572	-0.211908	23.559716	42.435718	90.515354	-26.609444	-26.695873	-18.498755
16.653630	14.661106	0.124842	22.187992	41.359237	89.677619	-26.696609	-26.817806	-18.498877
15.885753	14.279312	-0.173300	21.360851	41.951593	90.464843	-26.791361	-26.950047	-18.499231
15.493235	13.865345	-0.128257	20.791935	41.826284	90.353435	-26.855440	-27.038963	-18.499289
15.169354	13.112483	0.126987	20.051500	40.840337	89.637140	-26.934711	-27.153093	-18.499769
14.197711	12.653473	0.178465	19.018865	41.708488	89.462352	-27.053600	-27.330103	-18.499758
13.045896	11.842698	-0.111097	17.619797	42.232284	90.361267	-27.199522	-27.548864	-18.500635
12.563292	10.989025	0.217073	16.692576	41.175965	89.254894	-27.431225	-27.916677	-18.500504
11.428636	10.740216	0.049771	15.683381	43.221337	89.818173	-27.622978	-28.213337	-18.500952
11.272058	9.755704	0.026177	14.907506	40.875425	89.899392	-27.832893	-28.575935	-18.501513
10.690788	9.062899	-0.192604	14.016640	40.288934	90.787331	-28.052301	-28.961409	-18.502100
9.712711	8.404412	0.013307	12.844107	40.869648	89.940638	-28.463043	-29.719587	-18.502922
8.264899	7.645115	0.058350	11.258763	42.769139	89.703054	-29.078423	-30.927979	-18.502811
7.988206	7.177525	0.148436	10.740127	41.940181	89.208105	-29.305841	-31.512951	-18.502203
7.533485	6.489010	-0.089648	9.943274	40.740151	90.516584	-29.362486	-31.926075	-18.500971
6.130716	5.579570	0.382231	8.298396	42.305353	87.359973	-28.726097	-31.578629	-18.497770
5.530142	4.783809	-0.057475	7.312360	40.861205	90.450345	-27.757641	-30.331400	-18.496899
5.058263	4.243293	-0.031736	6.602467	39.992729	90.275402	-26.997288	-29.109711	-18.497307
4.217459	4.063121	-0.132546	5.857771	43.932208	91.296567	-26.323896	-27.630762	-18.498144
3.483901	3.411069	0.099104	4.876759	44.394801	88.835578	-26.072508	-26.697586	-18.498024
2.576606	2.510208	0.009017	3.597238	44.252168	89.856372	-26.154556	-26.062363	-18.497583
1.840902	1.654390	-0.216198	2.484486	41.945536	94.992141	-26.851028	-26.022018	-18.498432
1.684324	1.324074	0.120553	2.145846	38.171460	86.779453	-27.484863	-26.235037	-18.497736
0.897143	0.425359	-0.001707	0.992874	25.366818	90.098508	-29.342031	-27.067291	-18.496199
-0.252527	-0.363967	0.217073	0.493318	-124.753569	63.894372	-31.218349	-28.192858	-18.496550
-1.228459	-1.009584	0.180610	1.600310	-140.585622	83.519826	-35.502037	-31.839344	-18.497883
-1.301386	-1.247669	-0.074634	1.804398	-136.207238	92.370555	-36.798092	-33.305859	-18.498690
-2.493954	-2.176414	0.120553	3.312268	-138.889584	87.914213	-36.610832	-33.660648	-18.498262
-2.880038	-2.723365	-0.145416	3.966419	-136.601589	92.101034	-35.229645	-32.874767	-18.498035
-3.557828	-3.424749	0.051916	4.938597	-136.091850	89.397683	-32.992611	-31.379347	-18.498234
-4.385762	-4.119699	-0.098228	6.018013	-136.791710	90.935241	-31.094868	-29.995012	-18.498657
-5.280188	-4.651636	-0.051040	7.037096	-138.621231	90.415569	-30.246128	-29.336845	-18.498590
-5.988008	-5.854929	-0.070344	8.375045	-135.643804	90.481247	-28.554356	-28.018259	-18.497787
-7.069041	-6.485532	0.036901	9.593478	-137.464998	89.779611	-29.834131	-28.943922	-18.498932
-7.064751	-6.764369	-0.021011	9.780994	-136.244323	90.123081	-29.147955	-28.426737	-18.499214
-7.974191	-7.178336	0.157016	10.730373	-138.006579	89.161569	-28.545496	-27.956795	-18.499716
-9.035920	-8.092067	-0.044605	12.129773	-138.154147	90.210696	-28.011192	-27.526056	-18.498760
-10.033302	-8.939305	-0.209763	13.439581	-138.300131	90.894300	-27.541479	-27.175903	-18.498299
-10.563094	-9.574197	-0.156140	14.257230	-137.811407	90.627496	-27.325438	-27.005432	-18.497923
-10.932018	-10.239119	-0.220488	14.979893	-136.874536	90.843361	-27.158947	-26.872160	-18.497881
-11.832879	-10.665955	-0.153995	15.931206	-137.969041	90.553845	-27.008974	-26.752668	-18.497438
-12.832406	-11.729829	0.223508	17.387049	-137.570231	89.263450	-26.876713	-26.646311	-18.497808
-13.885555	-12.493416	-0.280545	18.680813	-138.020958	90.860490	-26.716246	-26.514463	-18.496660
-14.464680	-13.565869	0.011162	19.830781	-136.836582	89.967749	-26.644056	-26.453354	-18.496750
-15.326932	-14.134270	0.298580	20.851417	-137.318210	89.179530	-26.571650	-26.387506	-18.496674
-16.135562	-14.464585	0.468028	21.674862	-138.125637	88.762710	-26.540131	-26.358385	-18.496784
-16.433704	-14.927885	0.077655	22.201676	-137.748932	89.799597	-26.509310	-26.323574	-18.496143
-17.092191	-15.496285	-0.021011	23.071157	-137.803618	90.052180	-26.501925	-26.304819	-18.495899
-18.220412	-16.703868	-0.119677	24.718757	-137.486436	90.277401	-26.591293	-26.328260	-18.494301
-19.076230	-17.289428	0.234233	25.746489	-137.812927	89.478735	-26.481182	-26.263222	-18.493748
-19.509501	-17.403108	-0.143271	26.144011	-138.266003	90.313986	-26.452005	-26.244497	-18.493708
-19.889149	-17.862118	-0.057475	26.732692	-138.073511	90.123185	-26.381962	-26.199331	-18.494574
-20.719228	-18.988194	0.099104	28.104230	-137.496214	89.797958	-26.306208	-26.147629	-18.495266
-21.568611	-19.745346	0.017597	29.241819	-137.526935	89.965521	-26.226063	-26.092093	-18.495205
-22.119853	-20.457455	0.182755	30.130197	-137.235933	89.652470	-26.202446	-26.073675	-18.494762
-22.804078	-20.927190	0.272841	30.952345	-137.457551	89.494938	-26.180513	-26.056746	-18.495228
-23.795025	-21.426953	0.199914	32.021204	-137.997585	89.642290	-26.163343	-26.042559	-18.495197
-24.783827	-22.239873	-0.048895	33.299436	-138.096649	90.084130	-26.143297	-26.026752	-18.495302
-25.800513	-23.453890	-0.081069	34.867721	-137.727675	90.133215	-26.119318	-26.007936	-18.495687
-25.912048	-23.646932	0.077655	35.080160	-137.616909	89.873168	-26.110880	-26.000168	-18.495373
-26.694939	-24.251795	0.212784	36.066808	-137.745508	89.661970	-26.099043	-25.990225	-18.495808
-27.308382	-24.993933	0.365072	37.021314	-137.533764	89.434990	-26.084991	-25.977314	-18.495678
-28.621065	-25.770389	0.026177	38.513362	-138.000148	89.961057	-26.074873	-25.970001	-18.495852
-29.646331	-26.772061	0.491622	39.948590	-137.916447	89.294880	-26.054369	-25.952000	-18.496023

25.604326	29.012678	0.105538	38.695324	48.570889	89.843730	-26.090372	-26.037880	-18.496679
25.580732	28.485031	-0.089648	38.285492	48.074853	90.134162	-26.104033	-26.052837	-18.497147
25.319053	28.036745	-0.042460	37.777180	47.915856	90.064399	-26.108187	-26.057144	-18.496401
24.937260	28.146135	-0.068199	37.604209	48.459303	90.103912	-26.116798	-26.066681	-18.496887
24.478250	27.397563	-0.235502	36.740531	48.220924	90.367261	-26.127117	-26.078793	-18.496744
23.976342	26.897799	0.056205	36.032759	48.286612	89.910628	-26.146708	-26.102118	-18.496454
23.401507	26.127778	0.150581	35.075832	48.150588	89.754027	-26.164505	-26.122368	-18.496546
22.758035	25.304134	0.442289	34.035613	48.032416	89.255427	-26.183851	-26.145020	-18.496559
21.872188	24.137304	-0.216198	32.573744	47.818481	90.380285	-26.260567	-26.233444	-18.496307
21.689871	23.435920	-0.128257	31.932887	47.215836	90.230126	-26.285856	-26.262877	-18.496149
20.570230	22.976910	0.131277	30.839746	48.163296	89.756105	-26.363592	-26.353788	-18.496147
19.422704	22.028861	-0.029591	29.368572	48.597584	90.057729	-26.382074	-26.387634	-18.496704
19.324039	21.565561	-0.503615	28.961104	48.137750	90.996388	-26.360529	-26.366810	-18.497528
18.556162	20.896350	-0.100373	27.946353	48.394612	90.205785	-26.348583	-26.353792	-18.497803
18.131470	20.004069	0.225653	26.999332	47.811180	89.521132	-26.363852	-26.375639	-18.498241
17.089046	19.066744	0.483042	25.608779	48.130923	88.919202	-26.423166	-26.454025	-18.499449
16.310444	18.217361	0.064785	24.452138	48.161145	89.848197	-26.461761	-26.505161	-18.499340
15.767783	17.400152	0.150581	23.482141	47.817554	89.632583	-26.523823	-26.586050	-18.499527
14.873357	17.419456	0.182755	22.906060	49.508111	89.542863	-26.567007	-26.641811	-18.499922
14.298522	15.508344	-0.108952	21.094272	47.324286	90.295935	-26.704479	-26.829662	-18.500360
13.912439	14.888466	-0.179734	20.377798	46.940941	90.505361	-26.795261	-26.958506	-18.500874
13.114533	14.470209	0.225653	19.530203	47.813586	89.337987	-26.883106	-27.077824	-18.500656
12.541843	13.850331	-0.001707	18.685007	47.838322	90.005234	-27.021795	-27.278999	-18.501255
11.793271	13.163961	0.126987	17.674479	48.143615	89.588338	-27.228725	-27.582464	-18.501804
11.098321	12.441127	-0.001707	16.671963	48.264896	90.005867	-27.365541	-27.786797	-18.501690
10.236068	11.954233	0.169886	15.738794	49.427501	89.381534	-27.561832	-28.081505	-18.502054
9.869289	10.772389	0.015452	14.609842	47.505167	89.939401	-27.911726	-28.661016	-18.502710
9.330917	10.328394	0.111973	13.919564	47.904589	89.539091	-28.224258	-29.184347	-18.502895
8.646692	9.734254	0.120553	13.020581	48.386124	89.469512	-28.636061	-29.895248	-18.502956
7.780150	8.741163	-0.134691	11.702854	48.329034	90.659447	-29.192223	-30.980482	-18.503716
7.042302	7.589348	-0.074634	10.353636	47.141168	90.413018	-29.646154	-32.259956	-18.502453
6.632625	7.046686	0.092669	9.677607	46.733767	89.451350	-29.759876	-32.709808	-18.501287
5.633098	6.463271	0.135567	8.574616	48.926052	89.094101	-29.204145	-32.230801	-18.499254
5.011075	5.551686	0.268551	7.483596	47.929890	87.943481	-27.884270	-30.417109	-18.497988
4.286096	4.843867	-0.449993	6.483530	48.495985	93.979841	-26.509390	-28.102427	-18.498951
3.760594	4.230423	-0.209763	5.664146	48.364812	92.122347	-26.130621	-27.072721	-18.499273
2.823270	3.280230	-0.158285	4.330798	49.281660	92.094555	-26.041996	-26.151636	-18.499470
2.512258	2.596004	-0.449993	3.640491	45.939235	97.100357	-26.320078	-25.934198	-18.499084
1.604963	2.042618	-0.100373	2.599667	51.841935	92.212731	-27.202915	-26.109495	-18.498680
1.053722	1.291901	-0.040315	1.667622	50.798056	91.385281	-28.371887	-26.603525	-18.497944
0.856390	0.466112	-0.038170	0.975767	28.558345	92.241892	-30.501764	-27.720118	-18.497585
-0.149571	0.240897	0.011162	0.283773	121.835882	87.745652	-32.327457	-28.893185	-18.499044
-0.752290	-0.990280	-0.203328	1.260134	-127.222990	99.285526	-34.592289	-30.936102	-18.499823
-1.623122	-1.384943	-0.081069	2.135220	-139.527247	92.175891	-36.257824	-32.919003	-18.500200
-1.768976	-2.335137	-0.031736	2.929701	-127.145640	90.620664	-35.914883	-33.106541	-18.500263
-3.045195	-3.353967	-0.012432	4.530173	-132.237510	90.157230	-32.622856	-31.002411	-18.500233
-3.862405	-4.287002	-0.160430	5.772547	-132.017496	91.592565	-30.336006	-29.352663	-18.500111
-3.965360	-4.728853	0.019742	6.171428	-129.981380	89.816714	-29.759007	-28.934961	-18.500101
-5.042104	-5.207167	-0.018866	7.248293	-134.077338	90.149133	-28.806728	-28.201918	-18.500273
-5.773517	-6.401880	-0.087503	8.621208	-132.045629	90.581549	-28.070314	-27.613625	-18.499966
-6.286150	-6.974570	-0.156140	9.390670	-132.028199	90.952711	-27.732622	-27.345957	-18.499895
-6.850260	-7.437870	0.030467	10.111820	-132.644996	89.827370	-27.433336	-27.102335	-18.499453
-7.285676	-8.235776	0.075510	10.996126	-131.497181	89.606551	-28.099800	-27.616354	-18.501278
-7.963467	-8.965044	0.099104	11.991607	-131.614037	89.526479	-27.713245	-27.311209	-18.500940
-8.980153	-10.329205	-0.036026	13.687108	-131.003514	90.150807	-27.238333	-26.931520	-18.500498
-9.655799	-11.386644	0.189190	14.930703	-130.297724	89.273975	-27.013494	-26.749239	-18.500336
-10.142692	-11.927160	-0.106807	15.657036	-130.377380	90.390857	-26.900110	-26.659376	-18.500141
-11.107900	-12.193129	0.066930	16.494312	-132.333418	89.767507	-26.765640	-26.548843	-18.500454
-11.481114	-12.750805	0.142002	17.158647	-132.000591	89.525826	-26.720291	-26.509783	-18.499611
-11.978733	-13.587318	-0.151851	18.114312	-131.399763	90.480311	-26.622458	-26.427643	-18.499531
-12.789507	-14.160008	0.277131	19.082823	-132.088767	89.167891	-26.541708	-26.352257	-18.499393
-13.199185	-14.854958	0.176320	19.872578	-131.622285	89.491634	-26.503763	-26.306480	-18.499350
-13.347183	-15.562778	0.219218	20.503546	-130.617547	89.387397	-26.538471	-26.303774	-18.498297
-14.915110	-16.236278	-0.042460	22.047200	-132.571472	90.110345	-26.606445	-26.327547	-18.496452
-15.082413	-17.055633	0.073365	22.767942	-131.486550	89.815377	-26.468361	-26.239946	-18.495972
-16.302865	-18.306113	-0.458572	24.517493	-131.687283	91.071716	-26.316418	-26.141129	-18.496660
-16.714687	-18.690052	-0.415674	25.077312	-131.806562	90.949761	-26.250433	-26.094648	-18.497295
-17.306681	-19.380712	-0.173300	25.983904	-131.764370	90.382137	-26.192806	-26.054079	-18.497087
-18.098152	-20.296587	-0.235502	27.194669	-131.722893	90.496179	-26.156019	-26.025724	-18.497265
-18.688001	-20.967943	0.036901	28.087317	-131.709513	89.924724	-26.132557	-26.006601	-18.496723
-19.237098	-21.798022	0.255682	29.073786	-131.428910	89.496121	-26.108503	-25.988003	-18.497581
-20.004974	-22.623811	0.214929	30.200696	-131.484536	89.592241	-26.082809	-25.967329	-18.497169
-20.560505	-23.344500	0.182755	31.108414	-131.371761	89.663398	-26.056374	-25.945204	-18.497231
-21.433482	-24.120956	0.021887	32.267866	-131.623762	89.961137	-26.040859	-25.931650	-18.497643
-21.920376	-24.573531	0.302870	32.931035	-131.733982	89.473038	-26.027411	-25.920141	-18.497665
-22.621761	-25.197699	-0.128257	33.862731	-131.916571	90.217011	-26.013218	-25.908335	-18.496809
-23.462564	-26.156473	-0.237647	35.138433	-131.892358	90.387503	-26.003181	-25.900146	-18.497189
-23.638447	-26.512527	0.073365	35.520355	-131.720048	89.881660	-25.992186	-25.889635	-18.497318
-24.970434	-27.786602	0.036901	37.357987	-131.944454	89.943405	-25.978415	-25.878716	-18.497345
-26.135118	-28.539464	-0.066054	38.698188	-132.482008	90.097799	-25.966757	-25.869141	-18.497049
-26.787170	-29.665540	-0.029591	39.969959	-132.081171	90.042418	-25.959160	-25.863533	-18.496855

22.556413	31.234801	-0.001707	38.527972	54.164824	90.002539	-26.004778	-25.947027	-18.496994
22.294735	30.496953	0.006873	37.777234	53.831406	89.989577	-26.012459	-25.954733	-18.497561
22.299025	30.975268	0.139857	38.167175	54.249972	89.790049	-26.011471	-25.954887	-18.497143
22.050215	30.293187	-0.070344	37.468575	53.949369	90.107568	-26.022869	-25.967964	-18.497437
21.140775	29.651860	0.161306	36.416908	54.512414	89.746212	-26.036509	-25.983040	-18.497835
20.885531	28.641609	-0.066054	35.447870	53.900378	90.106766	-26.065825	-26.016615	-18.497627
20.505882	27.901616	-0.237647	34.627270	53.686521	90.393224	-26.080135	-26.033010	-18.497307
19.800208	27.129449	0.064785	33.586596	53.876467	89.889482	-26.105623	-26.061995	-18.497025
19.319749	26.408761	-0.018866	32.721181	53.812070	90.033035	-26.123999	-26.083273	-18.497488
18.622654	25.514335	0.043336	31.587757	53.874673	89.921395	-26.148222	-26.111481	-18.497360
17.689620	24.720719	0.187045	30.398546	54.413298	89.647452	-26.202555	-26.173246	-18.497158
17.176987	24.068667	0.251392	29.570472	54.485845	89.512897	-26.298967	-26.282278	-18.496244
16.771599	23.416616	0.058350	28.803261	54.388760	89.883929	-26.366659	-26.363077	-18.496357
16.615021	22.693782	0.150581	28.126311	53.790657	89.693251	-26.400833	-26.411592	-18.496017
15.817116	22.099643	-0.068199	27.176829	54.408013	90.143782	-26.359627	-26.373020	-18.497805
14.952718	20.636816	0.096959	25.484728	54.074222	89.782013	-26.366404	-26.386007	-18.497656
14.637417	19.944011	0.045481	24.739031	53.724108	89.894666	-26.390717	-26.417418	-18.498480
13.983220	19.006687	0.305015	23.598255	53.658081	89.259414	-26.464689	-26.513449	-18.498802
13.423400	18.509069	0.084089	22.864390	54.049113	89.789281	-26.519249	-26.581356	-18.498522
13.067345	17.751916	0.120553	22.043153	53.642882	89.686651	-26.586397	-26.670547	-18.498653
12.346657	16.969025	0.107683	20.985694	53.960378	89.705999	-26.658644	-26.767445	-18.498755
11.692460	15.622024	-0.261241	19.514853	53.186615	90.767028	-26.825144	-26.992439	-18.499117
11.166958	15.109391	-0.269820	18.790089	53.532858	90.822780	-26.895962	-27.090614	-18.499063
10.345458	14.332935	-0.042460	17.676632	54.178391	90.137628	-27.062334	-27.322826	-18.499706
10.180301	13.603667	0.343623	16.994597	53.190664	88.841427	-27.188620	-27.511219	-18.499916
8.861183	12.460431	0.047626	15.290035	54.581626	89.821533	-27.611263	-28.136997	-18.501606
9.071384	12.067913	0.487332	15.105033	53.068018	88.151153	-27.780199	-28.410608	-18.501133
7.971046	11.737598	-0.051040	14.188424	55.819427	90.206110	-28.173309	-29.026936	-18.501780
7.492732	10.643695	-0.025301	13.016525	54.855999	90.111369	-28.681990	-29.879978	-18.502840
6.928622	9.714950	0.028322	11.932597	54.503851	89.864010	-29.208570	-30.840183	-18.502779
6.259411	8.734728	-0.057475	10.746115	54.374162	90.306443	-29.922422	-32.218533	-18.502649
5.575185	8.174907	-0.117532	9.895737	55.706497	90.680520	-30.317410	-33.187828	-18.502119
4.830903	6.744254	0.292145	8.301080	54.386012	87.983137	-29.913416	-33.162903	-18.499416
4.635716	6.377475	0.135567	7.885457	53.987011	89.014921	-28.725473	-31.618666	-18.497477
3.891433	5.699685	0.088379	6.901990	55.676872	89.266315	-27.681877	-30.271074	-18.497791
3.293004	4.620796	0.054061	5.674378	54.524478	89.454127	-26.326481	-27.591646	-18.498844
2.615214	3.865789	0.142002	4.669458	55.921572	88.257324	-26.005829	-26.196096	-18.499136
1.950293	2.600294	0.024032	3.250500	53.129085	89.576393	-26.234871	-25.927593	-18.499479
1.171692	1.624361	0.011162	2.002882	54.196169	89.680679	-27.548653	-26.240452	-18.498823
0.894999	1.169641	0.176320	1.483298	52.577120	83.173083	-28.552429	-26.676577	-18.497972
0.686943	0.541183	0.425129	0.972371	38.231560	64.074045	-29.844742	-27.327934	-18.497711
-0.145281	0.054290	0.062640	0.167266	159.509979	68.006893	-32.471851	-29.109423	-18.499529
-1.449385	-1.612303	0.069075	2.169103	-131.954053	88.175113	-35.979237	-32.619213	-18.500349
-1.711063	-2.075603	-0.261241	2.702612	-129.501123	95.547005	-35.734344	-32.849308	-18.500305
-1.835468	-2.731944	-0.271965	3.302488	-123.895339	94.723751	-34.835331	-32.411335	-18.500082
-2.558302	-3.489097	0.043336	4.326729	-126.249894	89.426123	-33.354702	-31.495193	-18.499975
-2.914356	-4.291292	-0.452137	5.207023	-124.181704	94.981395	-31.622538	-30.318972	-18.500599
-3.296150	-5.230761	-0.121822	6.183874	-122.216966	91.128795	-30.319994	-29.326744	-18.500114
-4.014693	-5.618989	0.024032	6.905895	-125.545305	89.800616	-29.486647	-28.713381	-18.499720
-4.613122	-6.350402	-0.055330	7.849304	-125.995777	90.403881	-28.749168	-28.136917	-18.499710
-5.142914	-7.182626	-0.207618	8.836447	-125.603475	91.346326	-28.012905	-27.565920	-18.499304
-5.764937	-8.218616	-0.059620	10.039109	-125.047688	90.340266	-27.650221	-27.275095	-18.498720
-6.309744	-8.907131	0.206349	10.917529	-125.313465	88.917005	-28.303038	-27.782085	-18.499262
-6.931767	-9.814427	0.268551	12.018506	-125.232926	88.719630	-27.771866	-27.365467	-18.499556
-8.358130	-11.348035	0.212784	14.095443	-126.372633	89.135035	-27.195045	-26.904015	-18.498564
