X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
-20.845778	0.251621	-0.048895	20.847354	179.308439	90.134381	-27.374098	-26.877375	-18.504219
-22.192779	0.013536	-0.096083	22.192991	179.965053	90.248059	-27.250170	-26.796602	-18.504248
-23.323145	-0.040086	0.367217	23.326070	-179.901524	89.097968	-27.152382	-26.738930	-18.504047
-24.155369	0.026406	0.257827	24.156760	179.937366	89.388467	-27.057339	-26.666386	-18.504213
-25.161331	0.058579	-0.051040	25.161450	179.866607	90.116224	-27.005638	-26.634792	-18.503248
-25.903468	0.210868	0.034756	25.904350	179.533593	89.923125	-26.948973	-26.592644	-18.503561
-27.825305	0.213013	-0.063909	27.826194	179.561389	90.131593	-26.833410	-26.519724	-18.503237
-28.481646	-0.134462	0.088379	28.482101	-179.729508	89.822213	-26.804182	-26.499439	-18.502792
-29.766446	0.022116	0.339333	29.768388	179.957430	89.346865	-26.753006	-26.462957	-18.502504
-29.792185	0.167970	0.176320	29.793180	179.676967	89.660914	-26.729549	-26.447781	-18.502516
-31.653964	-0.025072	-0.336313	31.655760	-179.954618	90.608725	-26.671717	-26.408390	-18.502373
-32.511926	-0.110868	0.187045	32.512654	-179.804618	89.670376	-26.629986	-26.380259	-18.502438
-33.517888	-0.261012	0.133422	33.519170	-179.553833	89.771935	-26.605396	-26.362383	-18.501886
-34.260026	-0.104433	0.238523	34.261015	-179.825348	89.601108	-26.582613	-26.346134	-18.501852
-35.193060	0.238752	-0.093938	35.193995	179.611308	90.152931	-26.553354	-26.324596	-18.501787
-36.269803	-0.254577	0.064785	36.270755	-179.597849	89.897661	-26.526962	-26.306463	-18.501570
-37.280055	-0.089419	-0.025301	37.280170	-179.862572	90.038885	-26.502670	-26.289539	-18.501469
-37.912802	-0.070115	0.086234	37.912965	-179.894039	89.869679	-26.473984	-26.268322	-18.501287
-39.158993	0.137941	0.086234	39.159331	179.798171	89.873827	-26.451353	-26.250967	-18.501179

38.327914	4.052396	0.324319	38.542912	6.035439	89.517880	-26.291306	-26.334461	-18.500713
38.175625	4.198250	-0.055330	38.405816	6.275713	90.082544	-26.292353	-26.337919	-18.500198
37.699456	3.814311	0.242812	37.892703	5.777345	89.632852	-26.294069	-26.342785	-18.500195
